Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/recipe/recipe/processConsumePotionRecipe (POST),1.0 [0.5]*,3.0,79.7,6.5,74.5,87.0,239,00.0,00.0
/tutorial/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,8.0,29.6,1.66,27.9,33.3,237,00.0,00.0
/{a:crate|crate\/v1}/quest/claimQuest (POST),1.0 [0.5]*,1.0,235,0,235,235,235,00.0,00.0
/battlelog/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,15.992803577843846,14.5,2.2,11.4,18.1,232,00.0,00.0
/tutorial/campaign/v2/startStage (POST),1.0 [0.5]*,4.0,57.7,19.2,40.3,85.0,231,00.0,00.0
/store/goal/v1/claimAchievement (POST),1.0 [0.5]*,2.0,115,46.5,82.2,148,230,00.0,00.0
/playermodel/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,14.46195652173913,15.9,2.56,12.4,20.4,230,00.0,00.0
/model/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,1.0,230,0,230,230,230,00.0,00.0
/reward/periodic/recipe/processUpgradeCharacterLevelRecipe (POST),1.0 [0.5]*,1.0,229,0,229,229,229,00.0,00.0
/recipe/playerraid/startRaid (POST),1.0 [0.5]*,6.8578125000000005,33.0,3.6,28.6,37.9,226,00.0,00.0
/reward/periodic/recipe/processUnlockCharacterRecipe (POST),1.0 [0.5]*,2.0,110,41.9,80.0,139,219,00.0,00.0
/store/tutorial/completeStep (POST),1.0 [0.5]*,13.0,16.8,12.2,11.9,57.4,218,00.0,00.0
/store/inbox/claimPlayerInboxMessage (POST),1.0 [0.5]*,1.0,206,0,206,206,206,00.0,00.0
/store/campaign/v2/startStage (POST),1.0 [0.5]*,3.87,51.7,12.0,42.9,69.2,200,00.0,00.0
/notification/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,11.0,18.2,4.13,13.8,26.9,200,00.0,00.0
/playermodel/recipe/processUpgradeCharacterLevelRecipe (POST),1.0 [0.5]*,1.0,198,0,198,198,198,00.0,00.0
/playermodel/authenticationv2/login (POST),1.0 [0.5]*,2.0,95.9,12.0,87.4,104,192,00.0,00.0
/playermodel/leaderboards/getTopPlayers (POST),1.0 [0.5]*,13.0,14.7,3.81,9.5,21.8,191,00.0,00.0
/reward/periodic/battlelog/listDefenseLogs (POST),1.0 [0.5]*,9.0,21.2,2.81,16.4,24.8,191,00.0,00.0
/battlelog/leaderboards/getPayoutTime (POST),1.0 [0.5]*,13.930235774044112,13.6,4.13,10.1,25.8,190,00.0,00.0
/tutorial/quest/claimQuest (POST),1.0 [0.5]*,1.0,187,0,187,187,187,00.0,00.0
/reward/periodic/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,1.0,183,0,183,183,183,00.0,00.0
/{a:crate|crate\/v1}/tutorial/startStep (POST),1.0 [0.5]*,7.0,26.2,17.0,16.1,64.0,183,00.0,00.0
/reward/periodic/socialintegrationv2/unbind (POST),0.5 [0.5]*,2.0,91.6,59.3,49.7,134,183,00.0,00.1
/store/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,3.0,60.4,3.23,57.9,64.1,181,00.0,00.0
/store/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,4.558333333333334,38.5,3.9,35.1,44.7,176,00.0,00.0
/playermodel/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,5.0,34.4,1.35,33.1,36.5,172,00.0,00.0
/reward/periodic/tutorial/completeStep (POST),1.0 [0.5]*,2.0,85.9,6.1,81.6,90.2,172,00.0,00.0
/battlelog/quest/claimQuest (POST),1.0 [0.5]*,1.0,171,0,171,171,171,00.0,00.0
/{a:crate|crate\/v1}/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,2.0,84.7,1.43,83.7,85.7,169,00.0,00.0
/battlelog/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,5.0,33.6,6.51,28.3,42.8,168,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getTopPlayers (POST),1.0 [0.5]*,7.9977492902591445,20.9,11.0,10.9,38.2,167,00.0,00.0
/sharedmodel/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,1.0,164,0,164,164,164,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/executeScheduledPeriodicReward (POST),1.0 [0.5]*,5.0,32.5,9.41,23.6,46.7,163,00.0,00.0
/{a:crate|crate\/v1}/infobutton/getRewardInfo (POST),1.0 [0.5]*,6.4847222222222225,24.8,20.2,15.7,70.1,161,00.0,00.0
/{a:crate|crate\/v1}/recipe/processUpgradeCharacterQualityRecipe (POST),1.0 [0.5]*,2.0,79.3,3.31,76.9,81.6,159,00.0,00.0
/recipe/recipe/processAcquireBuildingRecipe (POST),1.0 [0.5]*,1.0,156,0,156,156,156,00.0,00.0
/recipe/{a:crate|crate\/v1}/handleDeliveries (POST),1.0 [0.5]*,3.0,51.6,2.29,49.0,53.3,155,00.0,00.0
/store/recipe/processUpgradeCharacterQualityRecipe (POST),1.0 [0.5]*,2.0,76.8,2.45,75.1,78.5,154,00.0,00.0
/reward/periodic/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,4.0,37.7,6.29,29.9,43.2,151,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,9.436170212765958,16.0,2.38,13.0,21.6,151,00.0,00.0
/tutorial/reward/periodic/executeScheduledPeriodicReward (POST),1.0 [0.5]*,4.0,37.5,6.87,31.6,46.4,150,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,10.996918410024081,13.5,1.47,11.4,16.3,149,00.0,00.0
/store/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,9.814285714285715,15.0,2.66,12.3,19.9,147,00.0,00.0
/recipe/infobutton/getRewardInfo (POST),1.0 [0.5]*,6.0,24.5,17.0,14.3,58.6,147,00.0,00.0
/battlelog/leaderboards/getTopPlayers (POST),1.0 [0.5]*,8.63780487804878,16.5,6.87,10.3,31.2,142,00.0,00.0
/recipe/processConsumePotionRecipe (POST),1.0 [0.5]*,2.0,69.6,8.28,63.7,75.4,139,00.0,00.0
/reward/periodic/campaign/v2/startStage (POST),1.0 [0.5]*,2.0,69.5,21.1,54.6,84.4,139,00.0,00.0
/tutorial/playerraid/startRaid (POST),1.0 [0.5]*,4.0,34.6,8.24,28.4,46.7,138,00.0,00.0
/{a:crate|crate\/v1}/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,8.0,16.7,1.9,14.7,19.4,134,00.0,00.0
/battlelog/recipe/processConsumePotionRecipe (POST),1.0 [0.5]*,2.0,63.1,4.99,59.6,66.6,126,00.0,00.0
/tutorial/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,9.0,13.4,1.9,11.3,16.2,121,00.0,00.0
/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,8.860714285714286,13.5,1.72,12.0,17.7,120,00.0,00.0
/{a:crate|crate\/v1}/authenticationv2/login (POST),1.0 [0.5]*,1.0,119,0,119,119,119,00.0,00.0
/playermodel/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,7.0,16.7,1.44,14.7,18.5,117,00.0,00.0
/recipe/inbox/claimPlayerInboxMessage (POST),1.0 [0.5]*,1.0,113,0,113,113,113,00.0,00.0
/store/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,6.0,18.8,5.27,13.1,27.1,113,00.0,00.0
/reward/periodic/mission/v1/action/draw (POST),1.0 [0.5]*,1.0,112,0,112,112,112,00.0,00.0
/sharedmodel/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,5.0,22.2,4.24,15.7,25.8,111,00.0,00.0
/{a:crate|crate\/v1}/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,6.0,18.2,1.69,16.1,19.9,109,00.0,00.0
/recipe/leaderboards/getPayoutTime (POST),1.0 [0.5]*,3.9983305151858906,27.3,32.5,8.88,75.9,109,00.0,00.0
/battlelog/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,6.67,16.2,1.83,13.3,18.8,108,00.0,00.0
/store/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,2.0,53.3,21.5,38.1,68.5,107,00.0,00.0
/store/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,1.0,105,0,105,105,105,00.0,00.0
/recipe/leaderboards/getTopPlayers (POST),1.0 [0.5]*,8.867045454545455,11.7,1.14,9.96,13.9,104,00.0,00.0
/playermodel/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,6.258,16.1,1.89,13.8,19.4,101,00.0,00.0
/tutorial/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,5.0,20.1,6.18,14.0,28.5,100,00.0,00.0
/model/quest/getQuests (POST),1.0 [0.5]*,1.0,96.3,0,96.3,96.3,96.3,00.0,00.0
/store/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,5.717142857142857,16.1,1.46,14.6,18.0,91.9,00.0,00.0
/playermodel/{a:authentication|authentication\/v1}/login/internal (POST),1.0 [0.5]*,1.3932515337423312,65.4,0,61.8,69.1,91.2,00.0,00.0
/tutorial/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,2.0,43.2,30.7,21.5,64.9,86.4,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,4.777027027027027,17.9,2.28,14.6,20.4,85.4,00.0,00.0
/store/infobutton/getRewardInfo (POST),1.0 [0.5]*,4.0,20.2,3.21,18.1,24.9,80.9,00.0,00.0
/store/tutorial/startStep (POST),1.0 [0.5]*,4.0,20.2,3.16,17.5,24.7,80.8,00.0,00.0
/recipe/{a:crate|crate\/v1}/assignSharedCrate (POST),1.0 [0.5]*,1.0,77.4,0,77.4,77.4,77.4,00.0,00.0
/tutorial/recipe/processConsumePotionRecipe (POST),1.0 [0.5]*,1.0,77.2,0,77.2,77.2,77.2,00.0,00.0
/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,3.721052631578947,20.6,5.41,15.8,28.3,76.8,00.0,00.0
/reward/periodic/{a:crate|crate\/v1}/handleDeliveries (POST),1.0 [0.5]*,1.0,73.6,0,73.6,73.6,73.6,00.0,00.0
/battlelog/leaderboards/getLeaguesInformation (POST),1.0 [0.5]*,5.0,14.7,0.487,14.0,15.4,73.3,00.0,00.0
/tutorial/infobutton/getRewardInfo (POST),1.0 [0.5]*,4.0,17.2,1.29,16.1,18.9,68.6,00.0,00.0
/{a:crate|crate\/v1}/discardSharedCrate (POST),1.0 [0.5]*,2.0,33.8,5.93,29.6,38.0,67.5,00.0,00.0
/recipe/leaderboards/getLeaguesInformation (POST),1.0 [0.5]*,4.0,16.8,6.76,12.0,26.5,67.1,00.0,00.0
/recipe/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,2.0,32.6,6.74,27.9,37.4,65.2,00.0,00.0
/tutorial/sharedmodel/listSharedModels (POST),1.0 [0.5]*,1.0,64.7,0,64.7,64.7,64.7,00.0,00.0
/battlelog/{a:crate|crate\/v1}/handleDeliveries (POST),1.0 [0.5]*,1.0,63.4,0,63.4,63.4,63.4,00.0,00.0
/store/recipe/processUnlockCharacterRecipe (POST),1.0 [0.5]*,1.0,63.1,0,63.1,63.1,63.1,00.0,00.0
/playermodel/leaderboards/getPayoutTime (POST),1.0 [0.5]*,5.57027027027027,11.3,1.27,9.35,13.3,62.8,00.0,00.0
/store/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,2.7055555555555557,23.1,7.26,18.8,31.2,62.4,00.0,00.0
/reward/periodic/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,1.0,62.2,0,62.2,62.2,62.2,00.0,00.0
/playermodel/updatePlayerItemClientData (POST),1.0 [0.5]*,3.0,20.6,4.42,17.7,25.7,61.7,00.0,00.0
/playermodel/version (GET),1.0 [0.5]*,54.88306687415131,1.11,0.379,0.538,1.9,60.9,00.0,00.0
/playermodel/{a:crate|crate\/v1}/assignSharedCrate (POST),1.0 [0.5]*,1.0,59.9,0,59.9,59.9,59.9,00.0,00.0
/{a:crate|crate\/v1}/sharedmodel/listSharedModels (POST),1.0 [0.5]*,1.0,53.8,0,53.8,53.8,53.8,00.0,00.0
/tutorial/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,4.0,13.0,1.61,11.1,15.0,51.9,00.0,00.0
/model/notification/update (POST),1.0 [0.5]*,3.0,17.0,1.59,15.2,18.0,51.0,00.0,00.0
/sharedmodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,1.0,48.2,0,48.2,48.2,48.2,00.0,00.0
/battlelog/battlelog/claim (POST),1.0 [0.5]*,1.0,48.0,0,48.0,48.0,48.0,00.0,00.0
/reward/periodic/tutorial/startStep (POST),1.0 [0.5]*,2.0,24.0,4.22,21.0,26.9,47.9,00.0,00.0
/{a:player|player\/v1}/changePlayerName (POST),1.0 [0.5]*,3.0,15.8,1.09,14.6,16.8,47.4,00.0,00.0
/battlelog/version (GET),1.0 [0.5]*,39.77659269226584,1.18,0.948,0.562,6.77,46.9,00.0,00.0
/sharedmodel/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,2.0,22.7,7.08,17.7,27.7,45.5,00.0,00.0
/battlelog/socialintegrationv2/unbind (POST),0.0 [0.5]*,1.0,41.4,0,41.4,41.4,41.4,00.0,00.1
/recipe/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,2.759090909090909,14.9,1.72,13.9,16.9,41.2,00.0,00.0
/tutorial/{a:crate|crate\/v1}/handleDeliveries (POST),1.0 [0.5]*,1.0,41.1,0,41.1,41.1,41.1,00.0,00.0
/{a:crate|crate\/v1}/alliance/listRecommended (POST),1.0 [0.5]*,1.0,40.4,0,40.4,40.4,40.4,00.0,00.0
/battlelog{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,5.0,7.82,1.82,6.25,10.2,39.1,00.0,00.0
/store/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,3.0,12.5,0.905,11.7,13.5,37.5,00.0,00.0
/recipe/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,1.7055555555555555,21.9,0,21.1,22.7,37.3,00.0,00.0
/model/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,2.0,18.3,3.13,16.0,20.5,36.5,00.0,00.0
/store/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,1.8862068965517242,17.3,0,16.8,17.9,32.7,00.0,00.0
/{a:crate|crate\/v1}/version (GET),1.0 [0.5]*,28.0,1.09,0.419,0.524,2.18,30.6,00.0,00.0
/tutorial/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,2.0,15.3,0.363,15.0,15.5,30.6,00.0,00.0
/model/sharedmodel/listSharedModels (POST),1.0 [0.5]*,1.0,30.3,0,30.3,30.3,30.3,00.0,00.0
/store/leaderboards/getTopPlayers (POST),1.0 [0.5]*,2.0,14.6,3.29,12.3,16.9,29.2,00.0,00.0
/tutorial/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,2.0,13.8,1.4,12.8,14.8,27.6,00.0,00.0
/reward/periodic/store/purchaseConversionProduct (POST),1.0 [0.5]*,1.0,26.5,0,26.5,26.5,26.5,00.0,00.0
/tutorial/leaderboards/getPayoutTime (POST),1.0 [0.5]*,2.0,12.4,3.66,9.86,15.0,24.9,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getPayoutTime (POST),1.0 [0.5]*,1.0,24.0,0,24.0,24.0,24.0,00.0,00.0
/tutorial{a:player|player\/v1}/changePlayerName (POST),1.0 [0.5]*,1.0,22.8,0,22.8,22.8,22.8,00.0,00.0
/model/version (GET),1.0 [0.5]*,20.896939291987973,1.02,0.397,0.496,2.04,21.4,00.0,00.0
/tutorial/leaderboards/getTopPlayers (POST),1.0 [0.5]*,1.0,21.2,0,21.2,21.2,21.2,00.0,00.0
/reward/periodic/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,1.0,18.0,0,18.0,18.0,18.0,00.0,00.0
/servertime/getServerTime (POST),1.0 [0.5]*,9.0,1.97,2.97,0.72,9.88,17.7,00.0,00.0
/playermodel/playermodel/updatePlayerItemClientData (POST),1.0 [0.5]*,1.0,17.2,0,17.2,17.2,17.2,00.0,00.0
/playermodel{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,2.0,7.77,0.37,7.51,8.04,15.5,00.0,00.0
/battlelog/notification/update (POST),1.0 [0.5]*,1.0,14.1,0,14.1,14.1,14.1,00.0,00.0
/reward/periodic/version (GET),1.0 [0.5]*,9.866532962653924,1.25,1.16,0.65,4.48,12.4,00.0,00.0
/reward/periodic/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,1.0,12.1,0,12.1,12.1,12.1,00.0,00.0
/unauthenticated/localization/info (POST),1.0 [0.5]*,2.0,5.44,5.87,1.29,9.59,10.9,00.0,00.0
/store/leaderboards/getPayoutTime (POST),1.0 [0.5]*,1.0,9.55,0,9.55,9.55,9.55,00.0,00.0
/reward/periodic{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,1.0,7.65,0,7.65,7.65,7.65,00.0,00.0
/tutorial{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,1.0,7.45,0,7.45,7.45,7.45,00.0,00.0
/tutorial/version (GET),1.0 [0.5]*,7.0,0.942,0.306,0.709,1.58,6.6,00.0,00.0
/recipe{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,1.0,6.38,0,6.38,6.38,6.38,00.0,00.0
/{a:crate|crate\/v1}{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,1.0,6.33,0,6.33,6.33,6.33,00.0,00.0
/{a:crate|crate\/v1}/content/getGameContentVersionConfig (POST),1.0 [0.5]*,5.0,1.17,0.567,0.802,2.17,5.84,00.0,00.0
/reward/periodic/content/getGameContentVersionConfig (POST),1.0 [0.5]*,2.0,1.49,0.999,0.782,2.19,2.98,00.0,00.0
/battlelog/content/getGameContentVersionConfig (POST),1.0 [0.5]*,3.0,0.92,0.0756,0.833,0.973,2.76,00.0,00.0
/recipe/version (GET),1.0 [0.5]*,3.0,0.738,0.19,0.538,0.918,2.21,00.0,00.0
/battlelog/bundle/getBundleConfig (POST),1.0 [0.5]*,2.0,0.976,0.0023,0.974,0.978,1.95,00.0,00.0
/store/version (GET),1.0 [0.5]*,1.0,1.01,0,1.01,1.01,1.01,00.0,00.0
/{a:crate|crate\/v1}/servertime/getServerTime (POST),1.0 [0.5]*,1.0,0.821,0,0.821,0.821,0.821,00.0,00.0
/playermodel/content/getGameContentVersionConfig (POST),1.0 [0.5]*,1.0,0.79,0,0.79,0.79,0.79,00.0,00.0
